              Epoch:          train loss       test accuracy
                   0          1.0513              0.00
                   0          0.9650              0.00
                   0          0.9067              1.00
                   1          0.6931              0.50
                   1          0.6521              1.00
                   1          0.7519              0.00
                   2          0.7235              1.00
                   2          0.5472              0.50
                   2          0.9135              1.00
                   3          0.7082              1.00
                   3          0.6331              1.00
                   3          0.4602              1.00
                   4          0.9758              1.00
                   4          0.7155              1.00
                   4          0.6820              1.00
                   5          0.6397              1.00
                   5          0.9135              1.00
                   5          0.2991              1.00
                   6          0.6302              1.00
                   6          0.4395              1.00
                   6          0.6721              1.00
                   7          0.5051              1.00
                   7          0.7006              1.00
                   7          0.7772              1.00
                   8          0.6100              1.00
                   8          0.3933              1.00
                   8          0.7434              1.00
                   9          0.4763              1.00
                   9          0.8378              1.00
                   9          0.5338              1.00
                  10          0.5498              1.00
                  10          0.6853              1.00
                  10          0.4651              1.00
                  11          0.2245              1.00
                  11          0.6753              1.00
                  11          0.3278              1.00
                  12          0.6931              1.00
                  12          0.4201              1.00
                  12          0.6803              1.00
                  13          0.2394              1.00
                  13          0.2340              1.00
                  13          0.3345              1.00
                  14          0.1113              1.00
                  14          0.2079              1.00
                  14          0.5045              1.00
                  15          0.4402              1.00
                  15          0.1219              1.00
                  15          0.1146              1.00
                  16          0.2201              1.00
                  16          0.0424              1.00
                  16          0.5569              1.00
                  17          0.0255              1.00
                  17          0.0785              1.00
                  17          0.0517              1.00
                  18          0.2771              1.00
                  18          0.1480              1.00
                  18          0.2341              1.00
                  19          0.0308              1.00
                  19          0.0682              1.00
                  19          0.0289              1.00
